id,name,duration,path,call_type,call_status,work_code,created_at,agent_info
618,EC8058642662755472023102322054293.wav,00:03:05,media/1698392931/EC8058642662755472023102322054293.wav,ptcl,In Progress,,2023-10-27 07:48:52,
617,EC8058442742740552023102321463596.wav,00:08:26,media/1698392931/EC8058442742740552023102321463596.wav,ptcl,In Progress,,2023-10-27 07:48:52,
616,EC8058342133748092023102321515278.wav,00:03:01,media/1698392931/EC8058342133748092023102321515278.wav,ptcl,In Progress,,2023-10-27 07:48:51,
615,EC8058342133747252023102321574593.wav,00:03:22,media/1698392931/EC8058342133747252023102321574593.wav,ptcl,In Progress,,2023-10-27 07:48:51,
614,EC8057921118743952023102321532761.wav,00:03:33,media/1698392931/EC8057921118743952023102321532761.wav,ptcl,In Progress,,2023-10-27 07:48:51,
613,EC8057621171756172023102321570136.wav,00:05:39,media/1698392930/EC8057621171756172023102321570136.wav,ptcl,In Progress,,2023-10-27 07:48:51,
612,EC8057921118738462023102321490766.wav,00:02:52,media/1698392930/EC8057921118738462023102321490766.wav,ptcl,In Progress,,2023-10-27 07:48:51,
611,EC8057621171752282023102321445317.wav,00:03:54,media/1698392930/EC8057621171752282023102321445317.wav,ptcl,In Progress,,2023-10-27 07:48:51,
610,EC8057621171737872023102322041345.wav,00:05:01,media/1698392930/EC8057621171737872023102322041345.wav,ptcl,In Progress,,2023-10-27 07:48:51,
609,EC8057621171678962023102321500525.wav,00:04:33,media/1698392930/EC8057621171678962023102321500525.wav,ptcl,In Progress,,2023-10-27 07:48:50,
608,EC8057521166751462023102321440299.wav,00:06:49,media/1698392930/EC8057521166751462023102321440299.wav,ptcl,In Progress,,2023-10-27 07:48:50,
607,EC8057521166756812023102321522875.wav,00:01:26,media/1698392930/EC8057521166756812023102321522875.wav,ptcl,In Progress,,2023-10-27 07:48:50,
606,EC8057521166672342023102322061520.wav,00:04:55,media/1698392929/EC8057521166672342023102322061520.wav,ptcl,In Progress,,2023-10-27 07:48:50,
605,EC8057521166738132023102322123184.wav,00:04:04,media/1698392929/EC8057521166738132023102322123184.wav,ptcl,In Progress,,2023-10-27 07:48:50,
604,EC8057521166660072023102321553662.wav,00:08:54,media/1698392929/EC8057521166660072023102321553662.wav,ptcl,In Progress,,2023-10-27 07:48:50,
603,EC5977042075774982023102322011771.wav,00:03:06,media/1698392929/EC5977042075774982023102322011771.wav,ptcl,In Progress,,2023-10-27 07:48:49,
602,EC8056321255725682023102322151997.wav,00:12:17,media/1698392928/EC8056321255725682023102322151997.wav,ptcl,In Progress,,2023-10-27 07:48:49,
601,EC8057421164757112023102321455063.wav,00:05:56,media/1698392929/EC8057421164757112023102321455063.wav,ptcl,In Progress,,2023-10-27 07:48:49,
600,EC8057421164751682023102321532793.wav,00:00:32,media/1698392928/EC8057421164751682023102321532793.wav,ptcl,In Progress,,2023-10-27 07:48:49,
599,EC8056321255755152023102321550952.wav,00:06:26,media/1698392928/EC8056321255755152023102321550952.wav,ptcl,In Progress,,2023-10-27 07:48:49,
598,EC8056321255707322023102322084574.wav,00:05:43,media/1698392928/EC8056321255707322023102322084574.wav,ptcl,In Progress,,2023-10-27 07:48:49,
597,EC8056321255732772023102322025575.wav,00:03:25,media/1698392928/EC8056321255732772023102322025575.wav,ptcl,In Progress,,2023-10-27 07:48:49,
596,EC8055721254754622023102322100156.wav,00:03:01,media/1698392928/EC8055721254754622023102322100156.wav,ptcl,In Progress,,2023-10-27 07:48:48,
595,EC8055721254747352023102321525413.wav,00:04:59,media/1698392928/EC8055721254747352023102321525413.wav,ptcl,In Progress,,2023-10-27 07:48:48,
594,EC8055721254730572023102322003129.wav,00:04:06,media/1698392928/EC8055721254730572023102322003129.wav,ptcl,In Progress,,2023-10-27 07:48:48,
593,EC8055721254729652023102322062855.wav,00:01:23,media/1698392927/EC8055721254729652023102322062855.wav,ptcl,In Progress,,2023-10-27 07:48:48,
